"","X1","X2","value","SigStar"
"536","17","X23",-3.56361722623056,NA
"537","7","X23",-1.19452079401225,NA
"538","9","X23",1.63039600326779,NA
"539","10","X23",0.522522185358804,NA
"540","16","X23",-0.231140781075563,NA
"541","19","X23",1.12330295472928,NA
"542","20","X23",0.326253491245852,NA
"543","21","X23",-2.98881342284317,NA
"544","24","X23",-0.519371502438729,NA
"545","25","X23",-4.08435976347534,NA
"546","33","X23",-1.95532250435255,NA
"547","11","X27",-1.22205422184558,NA
"548","22","X27",-0.564736365693416,NA
"549","26","X27",-0.974718374438082,NA
"550","35","X27",-0.937209340432183,NA
"551","36","X27",-0.744733526964286,NA
"552","37","X27",-2.39541181636271,NA
"553","40","X27",0.965486302726443,NA
"554","42","X27",0.00828450585679506,NA
"555","3","X27",2.10591511041937,NA
"556","14","X27",1.10682430756889,NA
"557","15","X27",3.22315402856255,NA
"558","18","X27",-0.320926378554114,NA
"559","23","X27",-2.90974453451461,NA
"560","27","X27",NA,NA
"561","34","X27",0.1306137577936,NA
"562","38","X27",-0.408173058988893,NA
"563","41","X27",0.337469641187439,NA
"564","1","X27",0.27163289754973,NA
"565","12","X27",-0.133168785164261,NA
"566","28","X27",-1.43364396489206,NA
"567","29","X27",-0.0681069265588047,NA
"568","30","X27",0.524353686871982,NA
"569","31","X27",-0.685460444812946,NA
"570","32","X27",-0.605967978467756,NA
"571","39","X27",-1.70307595969698,NA
"572","2","X27",-0.604994572771348,NA
"573","6","X27",-0.874108480146994,NA
"574","8","X27",-2.41209564685855,NA
"575","13","X27",-2.00739406712133,NA
"576","4","X27",0.0599793028894101,NA
"577","5","X27",-0.135178233066353,NA
"578","17","X27",-1.92152954272789,NA
"579","7","X27",0.361236315542828,NA
"580","9","X27",0.320364336902366,NA
"581","10","X27",-1.84458581638807,NA
"582","16","X27",-2.16124822731385,NA
"583","19","X27",-0.787877127727311,NA
"584","20","X27",-0.00193103124513329,NA
"585","21","X27",-4.18878392872261,NA
"586","24","X27",-0.473615666573861,NA
"587","25","X27",-3.22363199233727,NA
"588","33","X27",-0.893237778377242,NA
"589","11","X34",-3.67810447008496,NA
"590","22","X34",-0.655920035926223,NA
"591","26","X34",-0.746122670018796,NA
"592","35","X34",0.659245942801434,NA
"593","36","X34",0.952468874546859,NA
"594","37","X34",-1.41441318243804,NA
"595","40","X34",1.702923522772,NA
"596","42","X34",2.74883407493293,NA
"597","3","X34",-1.07309686309027,NA
"598","14","X34",0.316362229698306,NA
"599","15","X34",0.640657701958893,NA
"600","18","X34",-0.50746185993477,NA
"601","23","X34",-1.26737748613975,NA
"602","27","X34",0.1306137577936,NA
"603","34","X34",NA,NA
"604","38","X34",0.0997886890168591,NA
"605","41","X34",3.57564292127229,NA
"606","1","X34",-3.3309348203516,NA
"607","12","X34",0.0696719348709967,NA
"608","28","X34",-0.214329857149112,NA
"609","29","X34",0.211221358842408,NA
"610","30","X34",0.755603983182805,NA
"611","31","X34",-0.121260850934262,NA
"612","32","X34",-0.712060661012129,NA
"613","39","X34",-2.9050924941674,NA
"614","2","X34",-2.85413756175897,NA
"615","6","X34",-2.14711680762184,NA
"616","8","X34",-2.87376789091239,NA
"617","13","X34",-1.06358197075492,NA
"618","4","X34",-1.64090293345859,NA
"619","5","X34",1.49766690880474,NA
"620","17","X34",-2.57653108102492,NA
"621","7","X34",-2.50648342647755,NA
"622","9","X34",-0.882405470153574,NA
"623","10","X34",-2.45617846459746,NA
"624","16","X34",-1.24826026653857,NA
"625","19","X34",-1.22541123280088,NA
"626","20","X34",-0.412741466999568,NA
"627","21","X34",-1.83939967029555,NA
"628","24","X34",-1.60064924305315,NA
"629","25","X34",-5.44734684528021,"*"
"630","33","X34",-2.48870913072839,NA
"631","11","X38",-0.823193465526922,NA
"632","22","X38",-1.34515565539978,NA
"633","26","X38",-0.357065190395281,NA
"634","35","X38",-0.659139794875621,NA
"635","36","X38",-0.107792273654061,NA
"636","37","X38",-3.17603376013985,NA
"637","40","X38",1.13533783826382,NA
"638","42","X38",0.553965041750957,NA
"639","3","X38",0.522566370372525,NA
"640","14","X38",-0.609208543515984,NA
"641","15","X38",1.14966896335413,NA
"642","18","X38",-0.305234286316772,NA
"643","23","X38",-2.16367538155427,NA
"644","27","X38",-0.408173058988893,NA
"645","34","X38",0.0997886890168591,NA
"646","38","X38",NA,NA
"647","41","X38",2.3147620392188,NA
"648","1","X38",-2.88838238362166,NA
"649","12","X38",-0.304185067575923,NA
"650","28","X38",-4.66796739841716,NA
"651","29","X38",-2.54865142167513,NA
"652","30","X38",-1.16996723460439,NA
"653","31","X38",-1.52662314363715,NA
"654","32","X38",-1.71776565130269,NA
"655","39","X38",-3.39508114083873,NA
"656","2","X38",-2.17573328252071,NA
"657","6","X38",-2.40270345441661,NA
"658","8","X38",-2.88197100018675,NA
"659","13","X38",-2.77881265056711,NA
"660","4","X38",-2.15541572074716,NA
"661","5","X38",-0.4290225016865,NA
"662","17","X38",-0.699164659666682,NA
"663","7","X38",-2.20191464774672,NA
"664","9","X38",-0.863098973239115,NA
"665","10","X38",-3.66723040752052,NA
"666","16","X38",-1.09054334321774,NA
"667","19","X38",-3.65164040323637,NA
"668","20","X38",-1.58798886478569,NA
"669","21","X38",-4.91080441647728,"*"
"670","24","X38",-2.50615922319794,NA
"671","25","X38",-3.81727921855614,NA
"672","33","X38",-3.45443236296791,NA
"673","11","X41",-2.90836879317558,NA
